rho,mu,D,V,e,L,Re,eD,f,delta_P
1000,0.00118,0.0994,0.1545,0.0001,1.8,13014.6610169492,0.00100603621730382,0.0285759054337495,6.17608255545234
1000,0.00118,0.0994,0.202,0.0001,1.8,17015.9322033898,0.00100603621730382,0.0274157417192788,10.1288202475061
1000,0.00118,0.0994,0.25,0.0001,1.8,21059.3220338983,0.00100603621730382,0.0261216135439921,14.7821002198144
1000,0.00118,0.0994,0.273,0.0001,1.8,22996.779661017,0.00100603621730382,0.0255270130266125,17.2258800651344
1000,0.00118,0.0994,0.273,0.0001,1.8,22996.779661017,0.00100603621730382,0.0252929799644614,17.0679522474267
1000,0.00118,0.0994,0.344,0.0001,1.8,28977.6271186441,0.00100603621730382,0.0240436280000693,25.7616105303278
1000,0.00118,0.0994,0.368,0.0001,1.8,30999.3220338983,0.00100603621730382,0.0239883291901949,29.4138424851877
1000,0.00118,0.0994,0.404,0.0001,1.8,34031.8644067797,0.00100603621730382,0.0232273679635711,34.3256567463581
1000,0.00118,0.0994,0.44,0.0001,1.8,37064.406779661,0.00100603621730382,0.0231739464996848,40.6220164799304
1000,0.00118,0.0994,0.464,0.0001,1.8,39086.1016949153,0.00100603621730382,0.0226986485188382,44.2478411303885
1000,0.00118,0.0994,0.5,0.0001,1.8,42118.6440677966,0.00100603621730382,0.022233098906514,50.3264311264151
1000,0.00118,0.0994,0.559,0.0001,1.8,47088.6440677966,0.00100603621730382,0.0215278173472437,60.9087575778236
1000,0.00118,0.0994,0.585,0.0001,1.8,49278.813559322,0.00100603621730382,0.0210862814993329,65.3383039989766
1000,0.00118,0.0994,0.618,0.0001,1.8,52058.6440677966,0.00100603621730382,0.0208929613085404,72.2492054257815
1000,0.00118,0.0994,0.69,0.0001,1.8,58123.7288135593,0.00100603621730382,0.0202768271952128,87.4086286204904
1000,0.00118,0.0994,0.76,0.0001,1.8,64020.3389830509,0.00100603621730382,0.0200909281260873,105.071107415143
1000,0.00118,0.0994,0.844,0.0001,1.8,71096.2711864407,0.00100603621730382,0.0195884467350599,126.340042395564
1000,0.00118,0.0994,0.94,0.0001,1.8,79183.0508474576,0.00100603621730382,0.0193196831701692,154.565239881744
1000,0.00118,0.0994,1.035,0.0001,1.8,87185.593220339,0.00100603621730382,0.0189670592121115,183.965686157391
1000,0.00112,0.0994,1.06,0.0001,1.8,94075,0.00100603621730382,0.0187931681680327,191.191180867619
1000,0.00112,0.0994,1.14,0.0001,1.8,101175,0.00100603621730382,0.0187931681680327,221.139247646456
1000,0.00112,0.0994,1.198,0.0001,1.8,106322.5,0.00100603621730382,0.018706821403658,243.091493111006
1000,0.00112,0.0994,1.26,0.0001,1.8,111825,0.00100603621730382,0.0186208713666287,267.66846925044
1000,0.00116,0.0994,1.47,0.0001,1.8,125963.793103448,0.00100603621730382,0.0182810021614274,357.676819049956
1000,0.00116,0.0994,1.62,0.0001,1.8,138817.24137931,0.00100603621730382,0.0181970085860998,432.40046680105
1000,0.00116,0.0994,1.84,0.0001,1.8,157668.965517241,0.00100603621730382,0.0179887091512879,551.431753846481
1000,0.00116,0.0994,2.01,0.0001,1.8,172236.206896552,0.00100603621730382,0.0179060585403529,655.010466780603
1000,0.00116,0.0994,2.17,0.0001,1.8,185946.551724138,0.00100603621730382,0.0179887091512879,766.965083201706
1000,0.00116,0.0994,2.23,0.0001,1.8,191087.931034483,0.00100603621730382,0.0179060585403529,806.242803458642
1000,0.00116,0.0994,2.34,0.0001,1.8,200513.793103448,0.00100603621730382,0.0177827941003892,881.633004411289
1000,0.00116,0.0994,2.48,0.0001,1.8,212510.344827586,0.00100603621730382,0.0178648757485205,994.854312105941
1000,0.0012,0.0994,2.87,0.0001,1.8,237731.666666667,0.00100603621730382,0.0179887091512879,1341.59032764003
1000,0.0012,0.0994,3.25,0.0001,1.8,269208.333333333,0.00100603621730382,0.0179060585403529,1712.46950703451
1000,0.0012,0.0994,3.75,0.0001,1.8,310625,0.00100603621730382,0.018113400926196,2306.31519589707
1000,0.0012,0.0994,4.12,0.0001,1.8,341273.333333333,0.00100603621730382,0.0181970085860998,2796.73010351613
1000,0.00118,0.0994,4.45,0.0001,1.8,374855.93220339,0.00100603621730382,0.0182810021614274,3277.75242224849
1000,0.00118,0.0994,4.81,0.0001,1.8,405181.355932204,0.00100603621730382,0.0185353162341481,3882.81123674433
1000,0.0012,0.0994,5.16,0.0001,1.8,427420,0.00100603621730382,0.018706821403658,4509.78178640556
1000,0.00118,0.0994,5.51,0.0001,1.8,464147.457627119,0.00100603621730382,0.018706821403658,5142.32265238911
1000,0.00118,0.0994,6.07,0.0001,1.8,511320.338983051,0.00100603621730382,0.018706821403658,6240.70289277741
1000,0.00105,0.0994,6.02,0.0001,1.8,569893.333333333,0.00100603621730382,0.0189670592121115,6223.70655335557
1000,0.00105,0.0994,6.55,0.0001,1.8,620066.666666667,0.00100603621730382,0.019010782799233,7384.79978007731
1000,0.00105,0.0994,7.2,0.0001,1.8,681600,0.00100603621730382,0.0191866874067029,9005.7755296492
